"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X7846.44",146,-0.840406619130073,1.46974637819681,TRUE,6400,"PSG11","Pregnancy-specific beta-1-glycoprotein 11","PSG11","Q9UQ72"
"X25473.62",145,-0.840431939594594,1.52546880274988,TRUE,6401,"FNTA","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha","FNTA","P49354"
"X10631.9",146,-0.840772977413048,1.53820163179336,TRUE,6402,"PGRMC2","Membrane-associated progesterone receptor component 2","PGRC2","O15173"
"X24316.10",146,-0.841100771666236,1.42597517968997,TRUE,6403,"BMT2","Probable methyltransferase BMT2 homolog","BMT2","Q1RMZ1"
"X13125.45",146,-0.841791067799421,1.58147340019079,TRUE,6404,"VTN","Vitronectin","Vitronectin","P04004"
"X21853.3",146,-0.841941467515589,1.58747840766492,TRUE,6405,"CLEC1A","CLEC-1","CLC1A","Q8NC01"
"X23337.54",144,-0.842039895979453,1.58016000511,TRUE,6406,"KCTD10","BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3","BACD3","Q9H3F6"
"X6453.70",145,-0.842160170382297,1.39716256027509,TRUE,6407,"LILRB4","Leukocyte immunoglobulin-like receptor subfamily B member 4","LIRB4","Q8NHJ6"
"X2982.82",144,-0.842522533385585,1.44899859247564,TRUE,6408,"LGALS4","Galectin-4","Galectin-4","P56470"
"X7118.24",146,-0.842890142648346,1.49835585168928,TRUE,6409,"IGDCC3","Immunoglobulin superfamily DCC subclass member 3:Extracellular domain","IGDC3:ECD","Q8IVU1"
"X16607.78",144,-0.8430403964686,1.58479093532172,TRUE,6410,"GSN","Gelsolin","Gelsolin","P06396"
"X15404.3",144,-0.84320180066118,1.59311652998777,TRUE,6411,"IFNA21","Interferon alpha-21","IFN21","P01568"
"X21208.163",144,-0.843254051990072,1.5653304022592,TRUE,6412,"CEBPE","CCAAT/enhancer-binding protein epsilon","CEBPE","Q15744"
"X22398.5",143,-0.843500281142135,1.56097619779173,TRUE,6413,"ANP32C","Acidic leucine-rich nuclear phosphoprotein 32 family member C","AN32C","O43423"
"X4874.3",144,-0.843603105349151,1.46135009036327,TRUE,6414,"ANG","Angiogenin","Angiogenin","P03950"
"X24667.27",145,-0.845234463115585,1.63592420739466,TRUE,6415,"CT45A1","Cancer/testis antigen family 45 member A1","CT451","Q5HYN5"
"X9368.64",145,-0.845352565679789,1.62401165071544,TRUE,6416,"LRTM1","Leucine-rich repeat and transmembrane domain-containing protein 1","LRTM1","Q9HBL6"
"X18338.26",145,-0.845396174271801,1.43017867782504,TRUE,6417,"IDH1","Isocitrate dehydrogenase [NADP] cytoplasmic","IDH","O75874"
"X6354.13",145,-0.84574230414166,1.47176541571482,TRUE,6418,"HEPHL1","Hephaestin-like protein 1","HPHL1","Q6MZM0"
"X25941.4",146,-0.846441889791716,1.51768765560903,TRUE,6419,"OASL","2'-5'-oligoadenylate synthetase like protein","OA synthetase","Q15646"
"X9779.63",146,-0.846588433104906,1.49010261994428,TRUE,6420,"HERPUD2","Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein","HERP2","Q9BSE4"
"X15487.164",142,-0.847087917845541,1.46301495591264,TRUE,6421,"CES1","Liver carboxylesterase 1","carboxylesterase, liver","P23141"
"X21991.79",146,-0.847089765492135,1.68566514285783,TRUE,6422,"PPP1R9B","Neurabin-2","NEB2","Q96SB3"
"X14696.45",146,-0.847186175566602,1.57361010011909,TRUE,6423,"TPSB2","Tryptase beta-2","TPSB2","P20231"
"X20585.5",143,-0.848725010158055,1.59731522734826,TRUE,6424,"CD300LG","CMRF35-like molecule 9","CLM9","Q6UXG3"
"X13539.131",146,-0.848852141653394,1.47918987173648,TRUE,6425,"KCNN1","Small conductance calcium-activated potassium channel protein 1","KCNN1","Q92952"
"X11356.19",143,-0.849054280619165,1.53474916976743,TRUE,6426,"ESS2","Protein DGCR14","DGC14","Q96DF8"
"X6104.1",146,-0.850402415650826,1.46127941125446,TRUE,6427,"FGFRL1","Fibroblast growth factor receptor-like 1","FGRL1","Q8N441"
"X11218.84",146,-0.850930742858906,1.65501077821097,TRUE,6428,"TPMT","Thiopurine S-methyltransferase","TPMT","P51580"
"X12970.35",144,-0.851043219974517,1.38609257673687,TRUE,6429,"STAU2","Double-stranded RNA-binding protein Staufen homolog 2","STAU2","Q9NUL3"
"X7948.129",146,-0.851863992379748,1.62514146870358,TRUE,6430,"GLTPD2","Glycolipid transfer protein domain-containing protein 2","GLTD2","A6NH11"
"X3293.2",144,-0.852193642646559,1.51484847797632,TRUE,6431,"CD5L","CD5 antigen-like","CD5L","O43866"
"X14088.38",146,-0.852465591244423,1.47221177321056,TRUE,6432,"IGFBP6","Insulin-like growth factor-binding protein 6","IGFBP-6","P24592"
"X13739.3",145,-0.852631620386865,1.51389104823135,TRUE,6433,"FLRT1","Leucine-rich repeat transmembrane protein FLRT1","FLRT1","Q9NZU1"
"X6561.77",140,-0.85306209925033,1.6320219099422,TRUE,6434,"IGKV1-5","Ig Kappa chain V-I region HK102- like","Ig K chain V-I region HK102-like","P01602"
"X5736.1",142,-0.853373712393507,1.52042563629098,TRUE,6435,"TREML2","Trem-like transcript 2 protein","TRML2","Q5T2D2"
"X7713.102",146,-0.853553096884412,1.61045754215122,TRUE,6436,"FMR1","Fragile X mental retardation protein 1","FMR1","Q06787"
"X24678.10",145,-0.853611871669754,1.41789475173392,TRUE,6437,"AVEN","Cell death regulator Aven","AVEN","Q9NQS1"
"X24921.73",145,-0.85382531946555,1.57668394655992,TRUE,6438,"HIRIP3","HIRA-interacting protein 3","HIRP3","Q9BW71"
"X14065.11",144,-0.853836955757192,1.59832751834296,TRUE,6439,"CD5","T-cell surface glycoprotein CD5:Cytoplasmic domain","CD5:CD","P06127"
"X11513.92",146,-0.854224111002703,1.55597371817209,TRUE,6440,"CD38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1","CD38","P28907"
"X6549.60",143,-0.854363971048457,1.49231712706864,TRUE,6441,"VSTM2L","V-set and transmembrane domain-containing protein 2-like protein","VTM2L","Q96N03"
"X9800.20",146,-0.85455576165887,1.56893137371506,TRUE,6442,"NDUFB8","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial","NDUB8","O95169"
"X21163.21",145,-0.855316770137432,1.61878134120618,TRUE,6443,"TBC1D13","TBC1 domain family member 13","TBC13","Q9NVG8"
"X21903.6",146,-0.855357893478437,1.58806691590734,TRUE,6444,"ITGAL|ITGB2","Integrin alpha L beta 2","Integrin aLb2","P20701|P05107"
"X6463.59",144,-0.855359992282865,1.54439971337316,TRUE,6445,"QRFP","Orexigenic neuropeptide QRFP","OX26","P83859"
"X23263.9",146,-0.855516006000563,1.55940257772681,TRUE,6446,"KCTD15","BTB/POZ domain-containing protein KCTD15","KCD15","Q96SI1"
"X14713.46",144,-0.856276402046648,1.60115516406454,TRUE,6447,"AZU1","Azurocidin","Azurocidin","P20160"
"X6651.74",146,-0.85669992171502,1.56344510379169,TRUE,6448,"UBB","PolyUbiquitin K48-linked","PolyUbiquitin K48","P0CG47"
"X15581.16",145,-0.857041064180744,1.62342039998328,TRUE,6449,"FANK1","Fibronectin type 3 and ankyrin repeat domains protein 1","FANK1","Q8TC84"
