"protein_id","rank_EMCI","loess_corr_EMCI","rank_LMCI","loess_corr_LMCI","rank_AD","loess_corr_AD"
"X20453.9",5738,-0.665570563176871,2272,0.279712620850028,3930,-0.176000999519967
"X8315.5",5739,-0.666102217717822,1454,0.477218649517685,4128,-0.235725235725236
"X19250.50",5740,-0.666113610107416,3288,0.0776718123937079,4968,-0.473226674031551
"X3654.27",5741,-0.666236511565027,2584,0.219487175531894,273,0.861264304659571
"X4807.13",5742,-0.666242978092379,3861,-0.039534903216612,5042,-0.488978643277637
"X8811.24",5743,-0.666254946783669,4050,-0.078715204100513,1763,0.464507177473976
"X14143.8",5744,-0.66626109185655,3446,0.0442059473446737,4511,-0.349614987538879
"X13025.4",5745,-0.6672793770498,5413,-0.339390670703142,4538,-0.356654456654457
"X18206.18",5746,-0.667524880867699,3592,0.0157902817527961,2614,0.224451414781059
"X20454.24",5747,-0.668129194012241,3096,0.118522689146925,580,0.779290209307372
"X22378.2",5748,-0.668651680442159,3527,0.0287184372760985,2223,0.34034312468354
"X17170.15",5749,-0.668665313252443,3599,0.0146389057070908,4074,-0.220537658479009
"X20952.15",5750,-0.669235307130743,1325,0.513464631000081,5996,-0.735878494339187
"X7870.8",5751,-0.669487255118846,1639,0.431908100638934,1042,0.658663931138335
"X13411.21",5752,-0.66964702701374,2685,0.198099564612104,3106,0.0841503751487772
"X12448.246",5753,-0.669923555293366,2115,0.316947786644909,2266,0.327485975158903
"X23619.235",5754,-0.670768675102873,3488,0.0362193367758157,2356,0.301677483839998
"X9751.72",5755,-0.670893423802276,3949,-0.0585749048432565,6874,-0.912686670217593
"X11289.31",5756,-0.670974362755942,4243,-0.113409098797188,322,0.846625558789013
"X7175.4",5757,-0.671276682802772,5037,-0.248352351827357,1246,0.60582088865216
"X9254.18",5758,-0.671277717451175,3152,0.105761851690454,1293,0.59339264695245
"X20374.41",5759,-0.67132704256029,4369,-0.134139684546212,3717,-0.105883310608681
"X4187.49",5760,-0.671417421827842,1177,0.550775911249379,4365,-0.305795305795306
"X12717.65",5761,-0.672082438923057,5342,-0.322101954605562,4032,-0.209376264523961
"X8326.63",5762,-0.673523986982003,4173,-0.0997413558935032,1897,0.433507717209087
