"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X22796.17",483,0.258107809540302,0.258107809540302,0.962647157776621,TRUE,0.75,2848,"TADA1","Transcriptional adapter 1","TADA1","Q96BN2"
"X6938.21",495,0.258088489127272,0.258088489127272,0.909567113359392,TRUE,0.75,2849,"PCDHGA12","Protocadherin gamma-A12","PCDGC","O60330"
"X19194.9",495,0.25806355542174,0.25806355542174,0.924739649462818,TRUE,0.75,2850,"DTD1","D-tyrosyl-tRNA(Tyr) deacylase 1","Histidyl-tRNA synthetase-related","Q8TEA8"
"X5757.45",489,0.258012017480999,0.258012017480999,0.860213443360377,TRUE,0.75,2851,"GNAS","Neuroendocrine secretory protein 55","GNAS3","O95467"
"X5963.9",458,0.25776211814286,0.25776211814286,1.00445884916779,TRUE,0.75,2852,"DMKN","Dermokine","Dermokine","Q6E0U4"
"X2828.82",479,0.25708397086182,0.25708397086182,0.994503238000193,TRUE,0.75,2853,"SPINT1","Kunitz-type protease inhibitor 1","HAI-1","O43278"
"X7713.50",491,0.25646306956069,0.25646306956069,0.93053849669411,TRUE,0.75,2854,"FMR1","Fragile X mental retardation protein 1","FMR1","Q06787"
"X21339.19",489,0.256086530092726,0.256086530092726,1.0284470258275,TRUE,0.75,2855,"GPT2","Alanine aminotransferase 2","ALAT2","Q8TD30"
"X8973.23",493,0.255697406388691,0.255697406388691,0.914205728176028,TRUE,0.75,2856,"FCRL4","Fc receptor-like protein 4:Extracellular domain","FCRL4:ECD","Q96PJ5"
"X16300.4",494,0.255573607000786,0.255573607000786,1.01065597941423,TRUE,0.75,2857,"TREM2","Triggering receptor expressed on myeloid cells 2","TREM2","Q9NZC2"
"X19316.2",488,0.253710083516216,0.253710083516216,0.974974472241958,TRUE,0.75,2858,"HSCB","Iron-sulfur cluster co-chaperone protein HscB, mitochondrial","HSC20","Q8IWL3"
"X16923.20",492,0.253484991455451,0.253484991455451,1.11908400160505,TRUE,0.75,2859,"PFN2","Profilin-2","Profilin II","P35080"
"X7995.16",493,0.253189578581728,0.253189578581728,0.95398972810286,TRUE,0.75,2860,"None","von Willebrand factor C domain-containing protein 2-like","VWC2L","B2RUY7"
"X11303.7",491,0.253124558199416,0.253124558199416,0.865439507264759,TRUE,0.75,2861,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1","Q9Y3Z3"
"X22821.50",461,0.252799946202522,0.252799946202522,1.09925262037095,TRUE,0.75,2862,"UNG","Uracil-DNA glycosylase","UNG","P13051"
"X4261.55",492,0.25270436368026,0.25270436368026,0.978775903309528,TRUE,0.75,2863,"PON1","Serum paraoxonase/arylesterase 1","paraoxonase 1","P27169"
"X10940.25",494,0.251832182422875,0.251832182422875,1.03768345776334,TRUE,0.75,2864,"SRL","Sarcalumenin","SRCA","Q86TD4"
"X21308.44",485,0.25114274947293,0.25114274947293,1.00219331145275,TRUE,0.75,2865,"DHRS4","Dehydrogenase/reductase SDR family member 4","DHRS4","Q9BTZ2"
"X24260.4",487,0.251101599415334,0.251101599415334,1.05110165546435,TRUE,0.75,2866,"SETD3","Histone-lysine N-methyltransferase setd3","SETD3","Q86TU7"
"X12846.3",494,0.251062597118958,0.251062597118958,0.905957294154637,TRUE,0.75,2867,"FBXL5","F-box/LRR-repeat protein 5","FBXL5","Q9UKA1"
"X8464.31",488,0.250639350007755,0.250639350007755,0.916673549169186,TRUE,0.75,2868,"RSPO4","R-spondin-4","RSPO4","Q2I0M5"
"X15323.112",495,0.250245552475012,0.250245552475012,0.857199283130145,TRUE,0.75,2869,"AGO3","Protein argonaute-3","AGO3","Q9H9G7"
"X7167.102",494,0.24981677426445,0.24981677426445,0.912700577599076,TRUE,0.75,2870,"VAPA","Vesicle-associated membrane protein-associated protein A","VAPA","Q9P0L0"
"X19229.92",487,0.249594802921149,0.249594802921149,0.973819347291754,TRUE,0.75,2871,"HOMER1","Homer protein homolog 1","HOME1","Q86YM7"
"X21368.46",489,0.248842612192133,0.248842612192133,0.99670095436787,TRUE,0.75,2872,"POLR3K","DNA-directed RNA polymerase III subunit RPC10","RPC10","Q9Y2Y1"
"X11934.9",491,0.248490686203245,0.248490686203245,0.959187030452958,TRUE,0.75,2873,"INTS3","Integrator complex subunit 3","INT3","Q68E01"
"X17816.58",488,0.248168857459888,0.248168857459888,0.99621717077564,TRUE,0.75,2874,"NCALD","Neurocalcin-delta","NCALD","P61601"
"X7198.197",495,0.247010008409189,0.247010008409189,0.970744672487444,TRUE,0.75,2875,"FAM20B","Glycosaminoglycan xylosylkinase","FA20B","O75063"
"X3341.33",492,0.246991491610033,0.246991491610033,0.999198906560912,TRUE,0.75,2876,"ABL1","Tyrosine-protein kinase ABL1","ABL1","P00519"
"X7189.55",491,0.246512700661994,0.246512700661994,1.00737792449333,TRUE,0.75,2877,"CHST3","Carbohydrate sulfotransferase 3","CHST3","Q7LGC8"
"X13701.2",488,0.246436911909949,0.246436911909949,0.905577442188907,TRUE,0.75,2878,"CXCL13","C-X-C motif chemokine 13","BLC","O43927"
"X11356.19",488,0.246329697055311,0.246329697055311,0.987328831954337,TRUE,0.75,2879,"ESS2","Protein DGCR14","DGC14","Q96DF8"
"X14135.3",487,0.246128858225717,0.246128858225717,1.00841676014438,TRUE,0.75,2880,"RXFP1","Relaxin receptor 1","RXFP1","Q9HBX9"
"X10785.8",478,0.245969709143076,0.245969709143076,1.01092268044053,TRUE,0.75,2881,"LRRC52","Leucine-rich repeat-containing protein 52","LRC52","Q8N7C0"
