"gene","rho_median","rho_mean","n_proteins"
"PKLR",-0.193846479845068,-0.193846479845068,2
"PKN2",0.317961511311414,0.317961511311414,1
"PLA2G2A",-0.124955222661339,-0.124955222661339,1
"PLAUR",0.563387997180201,0.563387997180201,1
"PLCB1",0.773109772481421,0.773109772481421,1
"PLCG1",0.238954403769726,0.238954403769726,1
"PLCG2",-0.133382718607594,-0.133382718607594,1
"PLG",-0.137150130763702,-0.137150130763702,2
"PLK1",-0.171636846215286,-0.171636846215286,1
"PLXDC1",0.38056275319426,0.38056275319426,1
"PLXDC2",0.468590253570141,0.468590253570141,1
"PLXNA1",0.48045739364243,0.48045739364243,1
"PLXNA4",0.472660138963075,0.472660138963075,1
"PLXNB2",0.379927429531869,0.379927429531869,1
"PLXNB3",0.297049739358644,0.297049739358644,1
"PLXNC1",0.409972493780999,0.409972493780999,1
"PLXND1",0.502225288234463,0.502225288234463,1
"PML",-0.236343513788694,-0.236343513788694,1
"PNKP",-0.374826663116841,-0.374826663116841,1
"POFUT1",0.268269411869495,0.268269411869495,1
"POLB",-0.379414475746361,-0.379414475746361,1
"POLR2E",-0.32100913929992,-0.32100913929992,1
"POLR2F",-0.228580359193109,-0.228580359193109,1
"POMC",0.287981870559632,0.287981870559632,1
"PON2",0.117543958717154,0.117543958717154,1
"POSTN",0.185913128381721,0.185913128381721,2
"PPARG",-0.123112788403989,-0.123112788403989,1
"PPARGC1A",-0.147904331565288,-0.147904331565288,1
"PPIA",0.514126842165348,0.514126842165348,1
"PPIF",0.220834596091413,0.220834596091413,1
"PPIG",-0.203965541396032,-0.203965541396032,1
"PPM1A",0.319666685156333,0.319666685156333,1
"PPM1B",0.593570333386159,0.593570333386159,1
"PPM1D",-0.099971551569463,-0.099971551569463,1
"PPM1F",0.364092617636902,0.364092617636902,1
"PPM1G",0.411307059856193,0.411307059856193,1
"PPM1L",-0.138065264106364,-0.138065264106364,1
"PPME1",0.350874370017289,0.350874370017289,1
"PPP1CC",0.256207329334008,0.256207329334008,1
"PPP1R14A",0.231137892672195,0.231137892672195,1
"PPP1R1A",0.69127622695236,0.69127622695236,1
"PPP1R2",0.439665920311591,0.439665920311591,1
"PPP1R8",-0.11269471083847,-0.11269471083847,1
"PPP1R9B",-0.339691576334788,-0.339691576334788,1
"PPP2R1A",0.208289005049902,0.208289005049902,1
"PPP2R5A",0.270989866224822,0.270989866224822,1
"PPP2R5D",0.234978071597674,0.234978071597674,1
"PPP3R1",0.854402413370591,0.854402413370591,1
"PPP4C",0.222497844611397,0.222497844611397,1
"PPP4R3A",-0.173550987060326,-0.173550987060326,1
"PRC1",-0.383824593719654,-0.383824593719654,1
"PRDX1",0.475452351890131,0.475452351890131,1
"PRDX3",0.744733175321648,0.744733175321648,1
"PRDX6",0.373730774465191,0.373730774465191,1
"PRKAR1A",0.699705669107899,0.699705669107899,1
"PRKAR1B",0.6079936291309,0.6079936291309,1
"PRKAR2B",0.503316336457211,0.503316336457211,1
"PRKCB",0.576515466564262,0.576515466564262,1
"PRKCG",0.752719526157261,0.752719526157261,1
"PRKCI",-0.294703972329056,-0.294703972329056,1
"PRKCQ",-0.346369391786178,-0.346369391786178,1
"PRKCSH",0.542317899303298,0.542317899303298,1
"PRKCZ",-0.334038354412217,-0.334038354412217,1
"PRKG1",0.391702044866497,0.391702044866497,1
"PRKN",0.268503655461385,0.268503655461385,1
"PRL",-0.183059164685181,-0.183059164685181,2
"PROC",0.040515154803793,0.040515154803793,2
"PROCR",0.263874366468315,0.263874366468315,1
"PRPF19",-0.15520999570957,-0.15520999570957,1
"PRTG",0.318378300216439,0.318378300216439,1
"PRTN3",-0.151420082903729,-0.151420082903729,2
"PSG4",-0.125279922488627,-0.125279922488627,1
"PSG6",-0.142566817205418,-0.142566817205418,1
"PSG7",-0.13949459000364,-0.13949459000364,1
"PSMA5",0.341968861702974,0.341968861702974,1
"PSMA7",0.535662855936927,0.535662855936927,1
"PSMB4",0.411640412188287,0.411640412188287,1
"PSMC5",0.266440048220892,0.266440048220892,1
"PSMD4",-0.240598520581618,-0.240598520581618,1
"PSME3",-0.0980645559275571,-0.0980645559275571,1
"PSTPIP1",-0.169332322468818,-0.169332322468818,1
"PTEN",-0.253682006720457,-0.253682006720457,1
"PTGES3",0.43230403534627,0.43230403534627,1
"PTGFRN",0.332611642829943,0.332611642829943,1
"PTGR1",0.193132777808788,0.193132777808788,2
"PTGS2",-0.113875399099,-0.113875399099,1
"PTH",0.267860390587319,0.267860390587319,1
"PTHLH",0.20381365208754,0.20381365208754,1
"PTK2",-0.137198772710594,-0.137198772710594,1
