"EntrezGeneSymbol","rho_median","rho_mean","n_proteins","best_protein","Category1","Category2"
"BCAN",0.197094657831146,0.197094657831146,1,"BCAN","Others",NA
"BCAR3",-0.112420235541733,-0.112420235541733,1,"BCAR3.5262.57","Others",NA
"BCCIP",0.214015123784868,0.214015123784868,1,"BCCIP","Others",NA
"BCHE",0.130769306044957,0.130769306044957,2,"BCHE.8239.223","Others",NA
"BCL10",-0.241480597554908,-0.241480597554908,1,"BCL10","Others",NA
"BCL2",-0.162310500316634,-0.162310500316634,1,"BCL2","Others",NA
"BCL2L1",0.197104723995159,0.197104723995159,1,"BCL2L1","Others",NA
"BCL2L10",-0.0965415874956006,-0.0965415874956006,1,"BCL2L10.7249.37","Others",NA
"BCL2L2",0.22538934797231,0.22538934797231,1,"BCL2L2.13097.11","Others",NA
"BCL7A",-0.172488775447167,-0.172488775447167,1,"BCL7A","Others",NA
"BDH2",-0.163948428032338,-0.163948428032338,1,"BDH2","Others",NA
"BDNF",-0.196071518552816,-0.196071518552816,1,"BDNF.2421.7","Synaptic Proteins",NA
"BDP1",-0.097734463773065,-0.097734463773065,1,"BDP1","Others",NA
"BEGAIN",0.135613189535521,0.135613189535521,1,"BEGAIN","Others",NA
"BEX2",-0.111119042570921,-0.111119042570921,1,"BEX2","Others",NA
"BGLAP",0.186051055510716,0.186051055510716,1,"BGLAP.11067.13","Others",NA
"BGN",0.14234573731793,0.14234573731793,2,"BGN.3284.75","Others",NA
"BHMT2",-0.151350382583975,-0.151350382583975,1,"BHMT2","Others",NA
"BICD1",0.0883353911953998,0.0883353911953998,1,"BICD1","Others",NA
"BID",0.193161108731173,0.193161108731173,1,"BID","Others",NA
"BIN2",-0.216501154711735,-0.216501154711735,1,"BIN2","Others",NA
"BIN3",0.113263545051304,0.113263545051304,1,"BIN3","Others",NA
"BIRC2",0.196719383349102,0.196719383349102,1,"BIRC2","Others",NA
"BIRC5",-0.0962205916475464,-0.0962205916475464,1,"BIRC5","Others",NA
"BLK",0.11438132438197,0.11438132438197,1,"BLK","Others",NA
"BLOC1S6",0.0947637029744805,0.0947637029744805,1,"BLOC1S6","Others",NA
"BLVRA",0.125724065096255,0.125724065096255,1,"BLVRA","Others",NA
"BMI1",0.144340685356669,0.144340685356669,1,"BMI1","Others",NA
"BMP10",-0.212701990665491,-0.212701990665491,1,"BMP10","Others",NA
"BMP15",-0.135176667332371,-0.135176667332371,1,"BMP15","Others",NA
"BMP4",-0.0172132698670159,-0.0172132698670159,2,"BMP4.6326.20","Others",NA
"BMP5",0.172427030728016,0.172427030728016,1,"BMP5","Others",NA
"BMP6",0.119994677971463,0.119994677971463,2,"BMP6.8459.10","Others",NA
"BMP7",0.174211303975806,0.174211303975806,1,"BMP7","Others",NA
"BMPER",0.38847638437759,0.38847638437759,1,"BMPER.15368.3","Others",NA
"BMPR1A",0.121619150380607,0.121619150380607,1,"BMPR1A","Others",NA
"BMPR1B",-0.11610536298149,-0.11610536298149,1,"BMPR1B","Others",NA
"BMPR2",0.288424194844675,0.288424194844675,1,"BMPR2","Others",NA
"BNIP3L",0.185302064415313,0.185302064415313,1,"BNIP3L","Others",NA
"BOC",0.184588672327683,0.184588672327683,1,"BOC","Others",NA
"BOLA1",0.293947152674159,0.293947152674159,1,"BOLA1","Others",NA
"BOLA3",0.414422721904459,0.414422721904459,1,"BOLA3","Others",NA
"BORCS5",0.156892259081119,0.156892259081119,1,"BORCS5","Others",NA
"BPI",-0.173639980166084,-0.173639980166084,1,"BPI","Others",NA
"BPIFA1",-0.183303826408437,-0.183303826408437,1,"BPIFA1","Others",NA
"BPNT1",0.261516140490624,0.261516140490624,1,"BPNT1","Others",NA
"BPNT2",0.266702072139345,0.266702072139345,1,"BPNT2","Others",NA
"BRAF",-0.15691852847768,-0.15691852847768,1,"BRAF","Growth Factor Signaling",NA
"BRAT1",0.0885688396450594,0.0885688396450594,1,"BRAT1","Others",NA
"BRD1",-0.0963831367284645,-0.0963831367284645,1,"BRD1","Others",NA
"BRD2",-0.221054927761547,-0.221054927761547,1,"BRD2.15372.43","Others",NA
"BRK1",-0.160321513091312,-0.160321513091312,1,"BRK1","Others",NA
"BRPF1",-0.236386969827921,-0.236386969827921,1,"BRPF1","Others",NA
"BRSK2",0.248242271103429,0.248242271103429,1,"BRSK2","Others",NA
"BSG",0.298314974495756,0.298314974495756,1,"BSG","Others",NA
"BST1",0.149184691270193,0.149184691270193,1,"BST1","Others",NA
"BTC",0.169734982242914,0.169734982242914,1,"BTC.9242.11","Others",NA
"BTD",0.189672037641687,0.189672037641687,2,"BTD.9269.7","Others",NA
