"Rank","Gene","PTAU_rho","Mean_Rho","Degree","Functional_Category","MAPT_Interactor","N_Proteins","Priority_Score"
826,"G6PD",0.128826659900187,0.128826659900187,5,"Others",FALSE,1,0.230826387765181
827,"DRAXIN",0.209969868684949,0.209969868684949,2,"Others",FALSE,1,0.230675477987315
828,"IL1R1",0.118536762921244,0.118536762921244,6,"Others",FALSE,1,0.230661890004611
829,"SIRPA",-0.0959293381050212,-0.0959293381050212,10,"Others",FALSE,1,0.230028506364707
830,"DSG2",0.142868172614994,0.142868172614994,4,"Others",FALSE,2,0.229937453486751
831,"CNTN3",0.331591984543128,0.331591984543128,1,"Others",FALSE,1,0.229842049182346
832,"EPHA8",0.0922727755158558,0.0922727755158558,11,"Others",FALSE,1,0.229289233473746
833,"GLRX",0.208469649070105,0.208469649070105,2,"Others",FALSE,1,0.229027318282745
834,"SCARB1",-0.141724300080905,-0.141724300080905,4,"Others",FALSE,1,0.228096461663395
835,"KEAP1",0.109553562021497,0.109553562021497,7,"Others",FALSE,1,0.227810227906499
836,"NRG4",0.164114770319029,0.164114770319029,3,"Others",FALSE,1,0.227511380669756
837,"IL2RB",0.0986918846889378,0.0986918846889378,9,"Others",FALSE,1,0.227246462484235
838,"HSPA2",0.206845617580028,0.206845617580028,2,"Others",FALSE,1,0.227243137330563
839,"ITGAL",-0.0946979191891486,-0.0946979191891486,10,"Others",FALSE,1,0.227075692767502
840,"PGAM2",0.327452141062315,0.327452141062315,1,"Others",FALSE,1,0.226972528345661
841,"FASLG",0.126228690768301,0.126228690768301,5,"Others",FALSE,1,0.226171451972363
842,"ROR1",0.163017130705224,0.163017130705224,3,"Others",FALSE,2,0.225989729062596
843,"SLITRK3",0.14034171558722,0.14034171558722,4,"Others",FALSE,1,0.225871277762115
844,"ARTN",0.115831972199724,0.115831972199724,6,"Others",FALSE,1,0.225398610288536
845,"MBD4",-0.204900573034795,-0.204900573034795,2,"Others",FALSE,1,0.225106287491163
846,"FURIN",0.0977252759114894,0.0977252759114894,9,"Others",FALSE,1,0.225020763522526
847,"OSTF1",-0.16218343034498,-0.16218343034498,3,"Others",FALSE,1,0.224833974954326
848,"CD80",-0.204548496066427,-0.204548496066427,2,"Others",FALSE,1,0.224719491407158
849,"CAMK1",0.107831387579055,0.107831387579055,7,"Others",FALSE,1,0.224229066828866
850,"WNT5B",0.0966981579856896,0.0966981579856896,9,"Others",FALSE,1,0.222655737097832
851,"DNAJB11",0.320482139526286,0.320482139526286,1,"Others",FALSE,1,0.222141291432464
852,"RNASE2",0.201613546420378,0.201613546420378,2,"Others",FALSE,1,0.221495119659386
853,"FGF19",0.137561673695934,0.137561673695934,4,"Others",FALSE,2,0.221396972944124
854,"PKN2",0.159623180800207,0.159623180800207,3,"Others",FALSE,1,0.221284715447348
855,"ARFGAP2",0.318971397070284,0.318971397070284,1,"Others",FALSE,1,0.221094124558534
856,"GAD1",0.201202833514522,0.201202833514522,2,"Others",FALSE,1,0.221043905413898
857,"HGS",0.20117052039459,0.20117052039459,2,"Others",FALSE,1,0.221008405823255
858,"SLITRK6",0.159275001000918,0.159275001000918,3,"Others",FALSE,1,0.220802035754938
859,"TOPBP1",0.137133223369386,0.137133223369386,4,"Others",FALSE,1,0.220707408744983
860,"SEMA3E",0.137114499274525,0.137114499274525,4,"Others",FALSE,1,0.220677273476838
861,"SAP30",-0.159129153310228,-0.159129153310228,3,"Others",FALSE,1,0.220599847923752
862,"LRP12",0.317856472583226,0.317856472583226,1,"Others",FALSE,2,0.220321317793793
863,"SYT11",0.3177480002762,0.3177480002762,1,"Others",FALSE,1,0.220246130520009
864,"NRG2",0.105163907139411,0.105163907139411,7,"Others",FALSE,1,0.218682197191052
865,"VWC2L",0.315484990740009,0.315484990740009,1,"Others",FALSE,1,0.218677531840417
866,"ZBP1",-0.198857026621657,-0.198857026621657,2,"Others",FALSE,1,0.218466773134553
867,"ADGRB2",0.314805023042908,0.314805023042908,1,"Others",FALSE,1,0.2182062141483
868,"KHSRP",0.121552183397835,0.121552183397835,5,"Others",FALSE,1,0.217792275608415
869,"PRKCSH",0.313728350632392,0.313728350632392,1,"Others",FALSE,1,0.217459921702565
870,"IL22RA1",-0.197657785224285,-0.197657785224285,2,"Others",FALSE,1,0.217149271798322
871,"CRLF1",0.197108129872469,0.197108129872469,2,"Others",FALSE,1,0.216545413674285
872,"BCAN",0.197094657831146,0.197094657831146,2,"Others",FALSE,1,0.216530613124134
873,"CFL1",0.104048007108313,0.104048007108313,7,"Others",FALSE,1,0.216361748310026
874,"LTK",-0.120255857781074,-0.120255857781074,5,"Others",FALSE,1,0.215469571909382
875,"IL9",0.154911972542316,0.154911972542316,3,"Others",FALSE,1,0.214753594005372
876,"ZHX2",-0.193292000201703,-0.193292000201703,2,"Others",FALSE,1,0.212352966722829
877,"TMEM59L",0.305411349860782,0.305411349860782,1,"Others",FALSE,1,0.211695016067008
878,"PPP2R5D",0.147284553718164,0.147284553718164,2,"Tau Phosphatases",FALSE,1,0.210351206839506
879,"PEAR1",0.151499974674529,0.151499974674529,3,"Others",FALSE,2,0.210023560601105
880,"TNFRSF21",0.302894239365467,0.302894239365467,1,"Others",FALSE,2,0.209950288024023
881,"GXYLT1",0.190943831008738,0.190943831008738,2,"Others",FALSE,1,0.209773239191566
882,"SOX6",0.12956610862187,0.12956610862187,4,"Others",FALSE,1,0.208528607382592
883,"DKK2",0.129510393996342,0.129510393996342,4,"Others",FALSE,2,0.20843893815199
884,"NXPH1",0.12916017543449,0.12916017543449,4,"Others",FALSE,2,0.207875283120908
885,"NPM1",-0.0999315632601765,-0.0999315632601765,7,"Others",FALSE,1,0.207801843968217
886,"ESAM",0.299639200364506,0.297503323832996,1,"Others",FALSE,3,0.207694066917894
887,"RYK",0.149786610452648,0.149786610452648,3,"Others",FALSE,1,0.207648333441767
888,"EHD1",0.299529960550966,0.299529960550966,1,"Others",FALSE,1,0.207618347649134
889,"CD59",0.188817160453694,0.188817160453694,2,"Others",FALSE,2,0.207436852785846
890,"TOM1L1",0.188644805605603,0.188644805605603,2,"Others",FALSE,1,0.207247501631722
891,"LEFTY2",0.188578937166449,0.188578937166449,2,"Others",FALSE,1,0.207175137755032
892,"DYNC1LI1",0.144954659039904,0.144954659039904,2,"Cytoskeleton / Axonal Transport",FALSE,1,0.207023660637214
893,"CDH2",-0.115381961145323,-0.115381961145323,5,"Others",FALSE,1,0.206736721460235
894,"CD300LF",-0.106202132795257,-0.106202132795257,6,"Others",FALSE,1,0.20665980805761
895,"IL36G",0.188101219815687,0.188101219815687,2,"Others",FALSE,1,0.206650311602975
896,"AGT",-0.128368430063345,-0.128368430063345,4,"Others",FALSE,1,0.206601018103593
897,"ACE",0.188030744581059,0.188030744581059,2,"Others",FALSE,1,0.206572886644166
898,"IHH",-0.12829970894828,-0.12829970894828,4,"Others",FALSE,1,0.206490415735623
899,"PRTN3",-0.148406007792432,-0.148406007792432,3,"Others",FALSE,1,0.205734411758964
900,"CSF2RA",0.093444371898564,0.093444371898564,8,"Others",FALSE,1,0.205318270549271
901,"CTSD",-0.186801359378319,-0.186801359378319,2,"Others",FALSE,1,0.205222268952929
902,"HMGN1",-0.148004383676299,-0.148004383676299,3,"Others",FALSE,1,0.205177642511477
903,"FCER2",0.127033739428278,0.127033739428278,4,"Others",FALSE,1,0.204452916394144
904,"CCN1",-0.127014554585308,-0.127014554585308,4,"Others",FALSE,1,0.204422039580524
905,"ANP32A",-0.147193375896358,-0.147193375896358,3,"Others",FALSE,1,0.204053346999321
906,"STARD10",0.294065527014922,0.294065527014922,1,"Others",FALSE,1,0.203830690950268
907,"OSCAR",0.126607809211242,0.126607809211242,4,"Others",FALSE,1,0.203767408154797
908,"ADGRE5",0.185299134318582,0.185299134318582,2,"Others",FALSE,2,0.203571906041957
909,"TNFRSF11A",0.293225273251591,0.293225273251591,1,"Others",FALSE,1,0.20324827142326
910,"XPO5",-0.146527240298895,-0.146527240298895,3,"Others",FALSE,1,0.203129886976818
911,"AMIGO2",0.292858278154235,0.292858278154235,1,"Others",FALSE,2,0.202993889806248
912,"MYL9",0.184718927918787,0.184718927918787,2,"Others",FALSE,1,0.202934484161179
913,"CREM",-0.104059004399822,-0.104059004399822,6,"Others",FALSE,1,0.202489472762204
914,"PSMA7",0.291648527462285,0.291648527462285,1,"Others",FALSE,1,0.202155354524943
915,"PFN1",0.290910962974178,0.290910962974178,1,"Others",FALSE,1,0.20164411377953
916,"ARHGEF1",-0.183530720992155,-0.183530720992155,2,"Others",FALSE,1,0.2016291054301
917,"OMG",0.0967293232287836,0.0967293232287836,7,"Others",FALSE,1,0.201142973020509
918,"LDHB",0.223123256094406,0.223123256094406,1,"Metabolism",FALSE,1,0.20105443264295
919,"SEMA7A",0.144418020022707,0.144418020022707,3,"Others",FALSE,1,0.200205886801579
920,"TF",-0.182183260762703,-0.182183260762703,2,"Others",FALSE,1,0.200148769063532
921,"AIFM1",-0.143893889845881,-0.143893889845881,3,"Others",FALSE,1,0.199479288092951
922,"PLXDC2",0.287745020447801,0.287745020447801,1,"Others",FALSE,1,0.199449649643557
923,"KRAS",-0.0947954100364149,-0.0947954100364149,4,"Growth Factor Signaling",FALSE,1,0.198337524888545
924,"HMOX1",0.180426164049623,0.180426164049623,2,"Others",FALSE,1,0.198218401022164
925,"FKBP4",0.219974759334041,0.219974759334041,1,"Tau Folding/Stability",FALSE,1,0.198217349494766
926,"KIF22",-0.142929995696442,-0.142929995696442,3,"Others",FALSE,1,0.198143047068867
927,"RHOB",0.285727206483032,0.285727206483032,1,"Others",FALSE,1,0.198051007582983
928,"LRFN2",0.142141930830459,0.142141930830459,3,"Others",FALSE,1,0.197050557188958
929,"PPIF",0.109259835004086,0.109259835004086,3,"Tau Folding/Stability",FALSE,1,0.19690618111197
930,"CDK16",-0.094550138394339,-0.094550138394339,7,"Others",FALSE,1,0.196611485548766
931,"MAFG",-0.178482736292288,-0.178482736292288,2,"Others",FALSE,1,0.196083327405817
932,"EPB41L1",-0.141413993137668,-0.141413993137668,3,"Others",FALSE,1,0.196041421270195
933,"CALCR",-0.140980943691833,-0.140980943691833,3,"Others",FALSE,1,0.195441087265349
934,"KNG1",-0.121400986906321,-0.121400986906321,4,"Others",FALSE,2,0.195387350933948
935,"CD1B",-0.177768918042827,-0.177768918042827,2,"Others",FALSE,1,0.195299117905084
936,"TOR1AIP1",0.281182180647562,0.281182180647562,1,"Others",FALSE,1,0.194900635739555
937,"CHRD",0.281025351058994,0.281025351058994,1,"Others",FALSE,1,0.194791929752411
938,"CRIP2",0.280616864543198,0.280616864543198,1,"Others",FALSE,1,0.19450878847569
939,"ACO1",0.214747947192468,0.214747947192468,1,"Metabolism",FALSE,1,0.193507514365744
940,"SELE",-0.120067384868808,-0.120067384868808,4,"Others",FALSE,1,0.193241001254676
941,"ICOSLG",0.17571592059627,0.17571592059627,2,"Others",FALSE,2,0.193043669681692
942,"SKP1",-0.17560701019339,-0.17560701019339,2,"Others",FALSE,1,0.192924019374724
943,"POFUT1",0.175597720245068,0.175597720245068,2,"Others",FALSE,1,0.192913813323337
944,"IL3",-0.175014095515737,-0.175014095515737,2,"Others",FALSE,1,0.192272636023722
945,"ATP1B1",0.276939501151267,0.276939501151267,1,"Others",FALSE,1,0.191959834408678
946,"SORT1",-0.106996692697528,-0.106996692697528,5,"Others",FALSE,1,0.19171233731688
947,"XXYLT1",0.276488757730106,0.276488757730106,1,"Others",FALSE,1,0.191647402877145
948,"LIMD1",0.276293349601117,0.276293349601117,1,"Others",FALSE,1,0.191511956283477
949,"NDUFV2",0.276274489376908,0.276274489376908,1,"Others",FALSE,1,0.191498883372243
950,"CDH7",0.27603928668114,0.27603928668114,1,"Others",FALSE,1,0.191335853286811
951,"ST6GAL1",-0.174098697930695,-0.174098697930695,2,"Others",FALSE,1,0.191266968987779
952,"BPI",-0.173639980166084,-0.173639980166084,2,"Others",FALSE,1,0.190763016014547
953,"SNPH",-0.118329708540344,-0.118329708540344,4,"Others",FALSE,1,0.190444319092107
954,"DNER",0.274061156387265,0.274061156387265,1,"Others",FALSE,1,0.189964717850831
