"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-917729","Endosomal Sorting Complex Required For Transport (ESCRT)","11/2324","16/4190",0.6875,1.23951161790017,1.07109446664604,0.207754841673581,0.483582870066011,0.401430219554365,"VPS4A/CHMP3/TSG101/HGS/CHMP2A/CHMP4A/SNF8/MVB12B/RPS27A/UBC/UBB",11
"R-HSA-9637690","Response of Mtb to phagocytosis","11/2324","16/4190",0.6875,1.23951161790017,1.07109446664604,0.207754841673581,0.483582870066011,0.401430219554365,"ENO1/HGS/RAB5A/KPNA1/CTSG/MAPK3/MAPK1/RPS27A/PGK1/UBC/UBB",11
"R-HSA-9842860","Regulation of endogenous retroelements","11/2324","16/4190",0.6875,1.23951161790017,1.07109446664604,0.207754841673581,0.483582870066011,0.401430219554365,"H2BC21/RBBP4/HDAC2/SUMO2/BCL7A/H2BC12/TRIM28/UBE2I/CBX5/ARID1A/ZNF264",11
"R-HSA-2672351","Stimuli-sensing channels","14/2324","21/4190",0.666666666666667,1.20195065978198,1.03527660141312,0.208620737733395,0.483582870066011,0.401430219554365,"RAF1/SGK3/CLCA1/WWP1/SRI/CASQ2/TSC22D3/RPS27A/WNK3/UBC/UBB/ASPH/STOM/CLCA2",14
"R-HSA-5339562","Uptake and actions of bacterial toxins","14/2324","21/4190",0.666666666666667,1.20195065978198,1.03527660141312,0.208620737733395,0.483582870066011,0.401430219554365,"ANTXR1/SV2A/TXNRD1/MAP2K6/VAMP2/CD9/STX1A/SYT1/HSP90AA1/MAP2K1/MAP2K2/HSP90AB1/FURIN/STX1B",14
"R-HSA-975576","N-glycan antennae elongation in the medial/trans-Golgi","14/2324","21/4190",0.666666666666667,1.20195065978198,1.03527660141312,0.208620737733395,0.483582870066011,0.401430219554365,"B4GALT6/B4GALT1/FUCA1/CHST10/MGAT5/MGAT3/FUT3/ST6GAL1/MGAT2/MGAT4B/MGAT4C/ST8SIA2/FUT8/B4GALT2",14
"R-HSA-5654738","Signaling by FGFR2","35/2324","57/4190",0.614035087719298,1.10705981822025,0.908131309794622,0.220156024255606,0.508909803039573,0.422454529747214,"NRAS/RBFOX2/PTPN11/CBL/PPP2R1A/HNRNPM/FRS2/FGF16/HNRNPH1/BRAF/SHC1/TIAL1/POLR2K/POLR2I/POLR2E/POLR2F/GTF2F2/TIA1/MKNK1/GAB1/FGF8/NCBP1/MAPK3/FGF2/FGF5/MAPK1/FGFR2/RPS27A/PLCG1/KRAS/GRB2/SRC/UBC/UBB/PIK3R1",35
"R-HSA-1474228","Degradation of the extracellular matrix","50/2324","83/4190",0.602409638554217,1.0860999937789,0.884091544900029,0.220425126079263,0.508909803039573,0.422454529747214,"MMP10/COL1A1/COL6A1/COL6A3/TMPRSS6/CAPN3/SPP1/CAPN2/MMP20/OPTC/COL2A1/HTRA1/HSPG2/SCUBE3/CAPNS1/FN1/LAMA3/CAPN9/COL9A3/COL18A1/COL5A1/CAPNS2/TIMP1/CTSG/CAPN13/MMP9/MMP3/MMP7/ADAMTS4/MMP8/CAST/ACAN/CMA1/BCAN/BSG/A2M/ADAM9/MMP14/CTSD/CTRB2/FURIN/MMP19/COL25A1/CTSB/ADAM10/ADAM17/COL15A1/SCUBE1/LAMC2/MMP16",50
"R-HSA-69017","CDK-mediated phosphorylation and removal of Cdc6","21/2324","33/4190",0.636363636363636,1.1473165388828,0.948060138322244,0.220984214379216,0.509186291183918,0.422684047175061,"PSMB6/ANAPC10/PSMA7/PSMB5/PSMB1/PSMA4/UBE2E1/PSMB3/PSMB4/PSMA5/PSMB2/CCNE1/PSMC3/PSMD6/PSMC5/PSMA1/PSMD7/PSMA2/RPS27A/UBC/UBB",21
"R-HSA-204998","Cell death signalling via NRAGE, NRIF and NADE","18/2324","28/4190",0.642857142857143,1.15902385050406,0.942123127381455,0.227438216298863,0.521981965723528,0.43330595038491,"TRIO/ARHGEF2/ARHGEF1/ITSN1/YWHAE/SQSTM1/MAGED1/ABR/FGD2/MAPK8/RPS27A/VAV1/NGF/BAD/UBC/UBB/ARHGEF10/VAV3",18
"R-HSA-8986944","Transcriptional Regulation by MECP2","18/2324","28/4190",0.642857142857143,1.15902385050406,0.942123127381455,0.227438216298863,0.521981965723528,0.43330595038491,"GAD1/MET/PTPN4/AGO3/HDAC2/CAMK4/FKBP5/RBFOX1/BDNF/PPARG/PTPN1/CAMK2A/CAMK2B/CAMK2D/PTEN/DLL1/SST/TNRC6B",18
"R-HSA-216083","Integrin cell surface interactions","32/2324","52/4190",0.615384615384615,1.10949291672183,0.886563558186519,0.228593758388572,0.522564429925748,0.433789463650274,"COL1A1/COL6A1/COL6A3/ITGB7/MADCAM1/ITGAL/ITGB2/SPP1/IBSP/AGRN/COL2A1/HSPG2/FN1/COL9A3/ITGA6/ITGAM/COL18A1/COL5A1/ICAM3/PECAM1/TNC/JAM2/JAM3/VWF/THBS1/BSG/KDR/ICAM1/ICAM5/ICAM4/ITGB6/VTN",32
"R-HSA-8980692","RHOA GTPase cycle","32/2324","52/4190",0.615384615384615,1.10949291672183,0.886563558186519,0.228593758388572,0.522564429925748,0.433789463650274,"PGRMC2/TRIO/ARHGAP1/OPHN1/ARHGAP30/ARHGEF2/ARHGEF25/ARHGAP45/RACGAP1/ARHGEF1/ARHGAP5/JUP/MCAM/ABR/DDRGK1/ARHGAP26/DIAPH1/DOCK2/PKN2/HMOX2/C1QBP/VAV1/ARHGDIA/TFRC/VAPB/VAMP3/STOM/PIK3R1/ARHGEF10/FAF2/VAV3/ARHGDIB",32
"R-HSA-109582","Hemostasis","186/2324","323/4190",0.575851393188854,1.03821744296958,0.797798515075978,0.230033702643138,0.5234231400353,0.434502293258494,"RAF1/NRAS/CD99L2/LAT/APLP2/STX4/CD58/COL1A1/FLNA/SELPLG/TTN/SYK/ITGAL/TAGLN2/JAK2/PTPN11/SRI/PRKAR1B/RHOG/FERMT3/PPP2R1A/ARRB1/OLA1/KIF22/ITGB2/IRF2/SPN/DGKB/PRKG1/VEGFD/CD177/ATP1B1/RACGAP1/PPP2R5A/ANGPT2/CFD/KIF3A/TGFB1/SPARC/IFNA10/S100A10/KNG1/GAS6/IFNA21/IFNA4/LEFTY2/AKT1/PSG1/SHC1/SDC3/RAB5A/CD9/RHOB/ALB/CEACAM8/HDAC2/PAFAH2/RAC2/SERPINB8/SERPINE2/CYRIB/SRGN/MAFG/DOK2/MERTK/FN1/PFN1/ESAM/MAG/ITPK1/PRKAR1A/PDE1B/APBB1IP/ITGA6/ITGAM/NOS3/SH2B3/PPP2R5D/TIMP1/EHD2/EHD1/KLC3/KIF3C/TIMP3/NHLRC2/ANGPT4/GNG12/EHD3/INPP5D/PRKAR2B/DOCK2/VEGFA/PRKCZ/PLAUR/HGF/PECAM1/SOD1/ANGPT1/MAPK3/YES1/PROC/CD36/JAM2/JAM3/PTPN1/SERPINF2/VWF/MAPK1/CD109/LRP8/TFPI/SERPINC1/CSK/ECM1/LYN/SELE/THBS1/PRTN3/TGFB3/AHSG/BSG/OLR1/CD84/A2M/FGR/FYN/PPIA/SERPINA3/TGFB2/TF/CFL1/L1CAM/PTPN6/CLEC1B/PDPK1/SERPING1/PDGFA/CBX5/CLU/LCK/PLCG1/F5/C1QBP/CRK/MAPK14/KRAS/PDE9A/PDE2A/PDE1A/VAV1/MIF/GRB2/PRKCB/PRKCG/SRC/EGF/PCYOX1L/TMX3/CLEC3B/YWHAZ/ALDOA/THPO/TP53/QSOX1/PSG2/MPIG6B/CABLES2/HBE1/IFNA14/ATP1B2/ABHD12/JAML/IGF1/GPC1/CD74/PIK3R1/KCNMB3/STIM1/VTI1B/SIRPA/CD63/MANF/TREM1/VEGFB/VAV3/KIF1C",186
"R-HSA-5689880","Ub-specific processing proteases","51/2324","85/4190",0.6,1.08175559380379,0.849743364032673,0.230405911170085,0.5234231400353,0.434502293258494,"BIRC2/PSMB6/SUDS3/RNF146/SMAD4/RUVBL1/PSMA7/PSMB5/PSMB1/ARRB1/AXIN2/USP8/HGS/PSMA4/H2BC21/TAF10/PSMB3/PSMB4/MAT2B/PSMA5/USP15/PSMB2/KAT2A/SNX3/POLB/USP19/RHOT1/USP12/USP30/CYLD/IKBKG/H2AC1/H2BC12/H2AC11/SKP2/PSMC3/PSMD6/PSMC5/IDE/PTEN/PSMA1/PSMD7/PSMA2/RPS27A/TP53/UBC/UBB/CFTR/KEAP1/USP25/TNKS",51
"R-HSA-8951664","Neddylation","51/2324","85/4190",0.6,1.08175559380379,0.849743364032673,0.230405911170085,0.5234231400353,0.434502293258494,"CUL3/PSMB6/PSMA7/PSMB5/PSMB1/FBXL5/NPLOC4/DCUN1D3/RBBP5/CUL4B/CAND1/COPS2/PSMA4/SQSTM1/DCUN1D1/COMMD9/WDR5/UBD/CUL1/UBE2F/PSMB3/PSMB4/UBE2D2/PSMA5/PSMB2/UBE2D3/ASB9/SENP8/ASB13/KCTD7/SKP2/KCTD6/COMMD10/KLHL2/KLHL41/PSMC3/PSMD6/COPS5/VCP/KLHL3/PSMC5/COMMD7/BIRC5/PSMA1/PSMD7/SKP1/PSMA2/RPS27A/UBC/UBB/KEAP1",51
"R-HSA-9009391","Extra-nuclear estrogen signaling","25/2324","40/4190",0.625,1.12682874354561,0.899375514430553,0.230785235270901,0.5234231400353,0.434502293258494,"ELK1/NRAS/FOXO3/AKT2/AKT1/SHC1/NOS3/GNG12/MMP9/HSP90AA1/PRKCZ/EGFR/MMP3/MMP7/MAPK3/MAPK1/AKT3/BCL2/IGF1R/PDPK1/KRAS/SRC/EGF/PIK3R1/BTC",25
"R-HSA-3769402","Deactivation of the beta-catenin transactivating complex","12/2324","18/4190",0.666666666666667,1.20195065978198,0.958135212783211,0.23748916735663,0.5234231400353,0.434502293258494,"RBBP5/DPY30/AKT2/AKT1/WDR5/CTNNBIP1/SOX6/RPS27A/YWHAZ/UBC/UBB/CTNNB1",12
"R-HSA-525793","Myogenesis","12/2324","18/4190",0.666666666666667,1.20195065978198,0.958135212783211,0.23748916735663,0.5234231400353,0.434502293258494,"CDH15/MAP2K6/TCF4/CTNNA1/CDH2/BOC/CDON/MAPK11/MAPK14/CTNNB1/NEO1/CTNNA2",12
"R-HSA-5689896","Ovarian tumor domain proteases","12/2324","18/4190",0.666666666666667,1.20195065978198,0.958135212783211,0.23748916735663,0.5234231400353,0.434502293258494,"OTUB2/TNFAIP3/TNIP1/IKBKG/VCPIP1/VCP/PTEN/RPS27A/TP53/UBC/UBB/RIPK2",12
"R-HSA-6811440","Retrograde transport at the Trans-Golgi-Network","12/2324","18/4190",0.666666666666667,1.20195065978198,0.958135212783211,0.23748916735663,0.5234231400353,0.434502293258494,"STX6/NAPB/STX10/NSF/RAB6B/IGF2R/NAPG/RAB6A/NAPA/VAMP3/VTI1A/COG8",12
"R-HSA-912526","Interleukin receptor SHC signaling","12/2324","18/4190",0.666666666666667,1.20195065978198,0.958135212783211,0.23748916735663,0.5234231400353,0.434502293258494,"CSF2RA/JAK2/IL3RA/SHC1/INPP5D/IL2RG/IL5/PTPN6/IL3/GRB2/PIK3R1/IL2RB",12
"R-HSA-113418","Formation of the Early Elongation Complex","9/2324","13/4190",0.692307692307692,1.24817953131206,1.0000525484811,0.238001721137708,0.5234231400353,0.434502293258494,"POLR2K/POLR2I/POLR2E/POLR2F/GTF2F2/NELFE/NELFA/NCBP1/CCNH",9
"R-HSA-167158","Formation of the HIV-1 Early Elongation Complex","9/2324","13/4190",0.692307692307692,1.24817953131206,1.0000525484811,0.238001721137708,0.5234231400353,0.434502293258494,"POLR2K/POLR2I/POLR2E/POLR2F/GTF2F2/NELFE/NELFA/NCBP1/CCNH",9
