"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","11/1904","14/3379",0.785714285714286,1.39439525810324,1.67984980284504,0.0762467696563316,0.357864041097008,0.311632801338064,"DLD/HIBCH/LDHA/ACADS/ALDH6A1/ACOX1/DBT/ACSS2/LDHB/MCEE/LDHC",11
"Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","9/1904","11/3379",0.818181818181818,1.45201489686784,1.70580873332088,0.0769949906602653,0.357864041097008,0.311632801338064,"B4GALT1/CHST4/CHST2/CHST6/ST3GAL1/CHST1/B3GNT2/FUT8/B4GALT2",9
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","18/1904","25/3379",0.72,1.2777731092437,1.58360170179965,0.0816863880144045,0.37439594506602,0.326029004794334,"ADH5/ADH7/FAH/ALDH3A1/ALDH3B1/GSTZ1/PNMT/ADH1A/HPD/FAHD1/GOT2/COMT/TYRP1/TAT/TPO/MIF/AOC2/ADH1B",18
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","63/1904","99/3379",0.636363636363636,1.1293449197861,1.48387506068251,0.0828601265228187,0.374535822345473,0.326150811803235,"BIRC2/STAT1/ANTXR1/PLCB1/CARD9/MAP1LC3B/IRF9/GABARAPL2/ATG5/GABARAPL1/NEK7/IFI16/TNFAIP3/TANK/IFNA10/YWHAE/GBP1/IFNA21/IFNA4/MAPK10/MAPK9/FADD/IRF3/GABARAP/MAP1LC3A/SUGT1/CASP8/GBP2/PSTPIP1/GBP5/DEFA3/IKBKG/SHARPIN/PYCARD/IKBKB/CCL5/IL6/AIM2/PKN2/HSP90AA1/MAPK3/CXCL3/IL1B/MAPK1/CXCL2/TBK1/BCL2/MAPK8/BCL2L1/MAPK11/MAPK13/MAPK14/NAMPT/TYK2/HSP90AB1/IFNAR1/DEFA5/IFNA14/CTSB/RIPK2/DEFA1/CAMP/NFKB1",63
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","31/1904","46/3379",0.673913043478261,1.1959832846182,1.52036399276532,0.0839868207683787,0.374535822345473,0.326150811803235,"RAF1/RPS6KA1/ANAPC10/CDC25B/ARAF/RPS6KA6/KIF22/MAD1L1/AKT2/MAD2L1/MAPK10/MAPK9/AKT1/BRAF/PGR/HSP90AA1/MAPK3/MAP2K1/MAPK1/AKT3/PLK1/RPS6KA3/MAPK8/IGF1R/MAPK11/MAPK13/MAPK14/KRAS/HSP90AB1/IGF1/PIK3R1",31
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","26/1904","38/3379",0.68421052631579,1.21425807164971,1.50889158622153,0.0880643350123447,0.380152082408292,0.331041526307699,"DLD/PKLR/ADH5/ADH7/MDH2/ACYP2/FH/LDHA/ADH1A/PCK1/GRHPR/HAGH/DLAT/ACYP1/ALDH7A1/PDHB/FAHD2A/ME1/ACSS2/PDHA2/MDH1/LDHB/AKR1A1/LDHC/ADH1B/GLO1",26
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","26/1904","38/3379",0.68421052631579,1.21425807164971,1.50889158622153,0.0880643350123447,0.380152082408292,0.331041526307699,"MET/PTPN11/TJP1/MAPK10/MAPK9/IKBKG/ATP6V1C1/IKBKB/ATP6V1F/CCL5/EGFR/CXCL3/JAM2/JAM3/CXCL2/CSK/LYN/MAPK8/PLCG1/MAPK11/MAPK13/MAPK14/SRC/ADAM10/ADAM17/NFKB1",26
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","64/1904","101/3379",0.633663366336634,1.1245527914136,1.44370001812496,0.0891115902165333,0.380152082408292,0.331041526307699,"STAT3/STAT1/CD58/RUNX3/SYK/RELB/ITGAL/IRF9/SAP30/PSMD4/APAF1/TNFAIP3/IFNA10/ISG15/AKT2/IFNA21/IFNA4/MAPK10/VIM/MAPK9/AKT1/FADD/IRF3/MAP2K6/CASP8/CD3E/HDAC2/BTK/CCNE1/IKBKG/SAP30L/SKP2/PSMC3/PSMD6/IKBKB/PSMC5/IL6/CYCS/ENTPD1/FCER2/LYN/AKT3/TBK1/BCL2/B2M/MAPK8/TLR2/PSMD7/ICAM1/PDIA3/MAPK11/MAPK13/MAPK14/RB1/TYK2/CALR/FAS/BID/IFNAR1/TP53/TAPBPL/IFNA14/PIK3R1/NFKB1",64
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","61/1904","96/3379",0.635416666666667,1.1276643469888,1.44157448772386,0.0898541285692327,0.380152082408292,0.331041526307699,"RAF1/STAT3/PDGFRA/MCL1/NRAS/EFNA2/TNR/SHC4/MET/CDC25B/BCL2L2/FGFR3/PAK4/EFNA4/EFNA3/VIM/SHC1/STMN1/HMOX1/RDX/HDAC2/HMGA2/CCNE1/EFNA1/BMI1/FSCN1/TIMP3/IKBKB/MMP9/VEGFA/EFNA5/ERBB2/ERBB3/EGFR/TNC/MAPK3/MAP2K1/UBE2I/MAPK1/BCL2/THBS1/MAP2K2/PTEN/TGFB2/PDGFA/PLCG1/BMPR2/CRK/NOTCH1/NOTCH3/KRAS/GRB2/PRKCB/PRKCG/TP53/NOTCH2/PIK3R1/MMP16/EZR/NFKB1/CRKL",61
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","35/1904","53/3379",0.660377358490566,1.17196170921199,1.43342788919201,0.0969013559997851,0.398670792371035,0.347167867040806,"RAF1/NRAS/SMAD4/ARAF/APPL1/AXIN2/TGFB1/RALA/AKT2/MAPK10/MAPK9/AKT1/BRAF/RAC2/DCC/GSK3B/EGFR/MAPK3/MAP2K1/CYCS/MAPK1/AKT3/BCL2/BIRC5/TGFB3/MAP2K2/MAPK8/TGFB2/KRAS/GRB2/EGF/BAD/TP53/CTNNB1/PIK3R1",35
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","56/1904","88/3379",0.636363636363636,1.1293449197861,1.39667080556804,0.098228336760599,0.398670792371035,0.347167867040806,"NCF2/BMPR1B/GSTT2B/ARHGEF2/GSTP1/SUMO3/AKT2/MAPK10/SQSTM1/MAPK9/AKT1/BMP4/MAP2K6/HMOX1/RAC2/ACVR2A/SUMO2/NPPC/IKBKG/NOS3/MAP2K5/SUMO4/GSTA2/IKBKB/MMP9/VEGFA/HSP90AA1/PRKCZ/TNFRSF1A/PECAM1/IL1R1/IL1B/AKT3/BCL2/SELE/KDR/MAPK8/ICAM1/PDGFA/IL1A/BMPR1A/BMPR2/MAPK11/MAPK13/MAPK14/HSP90AB1/SRC/TP53/HSP90B1/CTNNB1/KEAP1/CAV3/GPC1/PIK3R1/ACVR2B/NFKB1",56
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","19/1904","27/3379",0.703703703703704,1.24885231870526,1.47481943910896,0.098841715558916,0.398670792371035,0.347167867040806,"RAF1/NRAS/GNRH2/GABBR1/PLCB1/ARRB1/SPP1/GABBR2/AKT2/AKT1/MAPK3/MAP2K1/MAPK1/AKT3/MAP2K2/KRAS/PRKCB/PRKCG/PIK3R1",19
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","41/1904","63/3379",0.650793650793651,1.15495364812592,1.41036688956284,0.0990636514376511,0.398670792371035,0.347167867040806,"BIRC2/STAT3/STAT1/HSPA1A/JAK2/IL10/TGFB1/AKT2/MAPK10/MAPK9/AKT1/MAP2K6/CASP8/HSPA1B/LAMA3/IKBKG/ITGA6/IKBKB/TNFRSF1A/MAPK3/CYCS/MAPK1/AKT3/BCL2/TGFB3/MAPK8/TLR2/TGFB2/BCL2L1/PDPK1/MAPK11/MAPK13/MAPK14/PPIF/TYK2/IFNGR1/BAD/HSPA8/IFNGR2/LAMC2/NFKB1",41
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","76/1904","122/3379",0.622950819672131,1.10554139688662,1.34884224232144,0.104069674792234,0.413770996161893,0.360317326801265,"NCF2/STX12/ALPI/STX4/MSR1/SYK/DYNLL2/DNM2/MAP1LC3B/GABARAPL2/ATG5/ATG7/GABARAPL1/ITGB2/HGS/FCN3/RAB5C/DYNLT1/LAMP1/CD14/ALPL/RAB5A/VAMP2/GABARAP/MAP1LC3A/DYNLRB2/ATG3/ALB/RAC2/RAB5B/MARCO/SCARB1/DEFA3/ATG4A/ITGAM/CD209/FCGR2B/ATP6V1C1/RILP/CTSG/DNM1/DYNC1LI1/ATP6V1F/MMP9/MPO/PIK3C3/MRC1/AZU1/C3/MMP8/CD36/MBL2/MRC2/FCGR3B/FCGR1A/THBS2/THBS4/THBS1/PRTN3/FCN1/OLR1/TLR2/BPI/CALR/COLEC12/CTSD/DEFA5/CFTR/VAMP3/CTSB/STX7/PIK3R1/THBS3/CD63/DEFA1/RAB27A",76
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","39/1904","60/3379",0.65,1.15354516806723,1.3632497841566,0.108255286528012,0.425288625645761,0.370347032858988,"RAF1/NRAS/LILRB3/BLK/SYK/AKT2/PPP3R1/LILRA2/AKT1/PPP3R2/RAC2/BTK/LILRA1/IKBKG/FCGR2B/GSK3B/IKBKB/INPP5D/MAPK3/MAP2K1/CD22/MAPK1/LYN/AKT3/MAP2K2/PTPN6/LILRB1/LILRB2/KRAS/VAV1/GRB2/PRKCB/CD79A/LILRA4/LILRA5/BCL10/PIK3R1/VAV3/NFKB1",39
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","58/1904","92/3379",0.630434782608696,1.11882307270734,1.31268984320053,0.113372897144346,0.440153600678048,0.383291652265095,"PDGFRA/PLCB1/PTK2B/MET/ITPKC/VEGFD/ITPKA/HTR7/PDGFC/FGFR3/FGF19/FGF16/PPP3R1/FLT4/FLT1/PPP3R2/CAMK4/CASQ2/PDE1B/NOS3/FGF8/PLCD1/PHKA1/PLCD3/VEGFA/ERBB2/ERBB3/ERBB4/MST1R/NTRK3/EGFR/HGF/FGF2/FGF5/RET/CAMK2A/CAMK2B/CAMK2D/NTRK1/CAMK1/KDR/FGFR2/PDGFA/PLCG1/NTRK2/FGFR4/PPIF/PDE1A/PRKCB/PRKCG/EGF/FGFR1/NGF/GDNF/HRC/ASPH/STIM1/VEGFB",58
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","8/1904","10/3379",0.8,1.41974789915966,1.51009861818324,0.115018436197317,0.441349813315286,0.384333330255417,"CHST15/XYLT2/CHST12/B3GAT3/CHST11/B4GALT7/B3GALT6/UST",8
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","43/1904","67/3379",0.641791044776119,1.13897685940048,1.30527498502535,0.118269886011388,0.444408069610086,0.386996500808783,"ELAVL1/TNFAIP3/IL17B/IL13/MAPK10/MAPK9/FADD/CASP8/JUND/IKBKG/MAPK6/CCL7/GSK3B/S100A8/IKBKB/IL6/MMP9/HSP90AA1/MMP3/MAPK3/CXCL5/CXCL3/IL17RA/IL1B/MAPK1/CXCL2/TBK1/CXCL6/IL5/MAPK8/MAPK11/MAPK13/MAPK14/IL17RB/CCL11/S100A9/HSP90AB1/HSP90B1/S100A7/CSF3/USP25/IL17C/NFKB1",43
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","15/1904","21/3379",0.714285714285714,1.26763205282113,1.39757367383857,0.11850881856269,0.444408069610086,0.386996500808783,"PCBP1/MAP1LC3B/ATG5/ATG7/FTL/GSS/HMOX1/CP/MAP1LC3A/GCLM/FTH1/TF/TP53/TFRC/FTMT",15
"Organismal Systems","Nervous system","hsa04730","Long-term depression","18/1904","26/3379",0.692307692307692,1.2286279896574,1.32943338092793,0.128300499243535,0.470845955020757,0.410018965616162,"RAF1/NRAS/PLCB1/ARAF/PPP2R1A/GRID2/PRKG1/BRAF/MAPK3/MAP2K1/MAPK1/LYN/MAP2K2/IGF1R/KRAS/PRKCB/PRKCG/IGF1",18
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","41/1904","64/3379",0.640625,1.13690749737395,1.25615356975767,0.129035330345354,0.470845955020757,0.410018965616162,"RAF1/STAT3/STAT1/NRAS/LAT/JAK2/PTPN11/MAP3K3/AKT2/PPP3R1/AKT1/MAP2K6/PPP3R2/CD3E/IKBKG/IKBKB/EGFR/MAPK3/MAP2K1/MAPK1/AKT3/CSNK2A1/MAP2K2/PRKCQ/PTEN/TLR2/ZAP70/PTPN6/LCK/PLCG1/MAPK11/MAPK13/MAPK14/CD274/KRAS/EGF/IFNGR1/ALK/PIK3R1/IFNGR2/NFKB1",41
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","13/1904","18/3379",0.722222222222222,1.28171685340803,1.3613886005575,0.129839339111785,0.470845955020757,0.410018965616162,"NR3C2/ATP1B1/MAPK3/MAPK1/INSR/PDPK1/SFN/KRAS/PRKCB/PRKCG/ATP1B2/IGF1/PIK3R1",13
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","24/1904","36/3379",0.666666666666667,1.18312324929972,1.25485582887704,0.138339367649853,0.490949220582252,0.427525158593157,"PLCB1/KNG1/MAPK10/MAPK9/MAP2K6/PPP1CC/IL1R1/IL1B/CAMK2A/CAMK2B/CAMK2D/NTRK1/PRKCQ/MAPK8/PLCG1/MAPK11/MAPK13/MAPK14/PRKCB/PRKCG/SRC/NGF/IGF1/PIK3R1",24
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","45/1904","71/3379",0.633802816901408,1.12480027222156,1.20733903176896,0.138358416709544,0.490949220582252,0.427525158593157,"STAT3/STAT1/STAT6/LAT/EBI3/JAK2/SMAD4/IL22/TGFB1/MAPK10/PPP3R1/IL6R/MAPK9/STAT5B/PPP3R2/CD3E/IRF4/STAT5A/IKBKG/IKBKB/IL6/IL6ST/HSP90AA1/IL12RB1/IL2RG/MAPK3/IL1R1/IL1B/MAPK1/PRKCQ/MAPK8/ZAP70/LCK/PLCG1/MAPK11/MAPK13/MAPK14/IL27RA/TYK2/HSP90AB1/IFNGR1/IFNGR2/IL2RB/IL21R/NFKB1",45
"Human Diseases","Infectious disease: viral","hsa05162","Measles","52/1904","83/3379",0.626506024096386,1.11185076440215,1.17206496846105,0.144368940880489,0.506827132878311,0.441351857339008,"STAT3/STAT1/HSPA1A/IRF9/APAF1/TNFAIP3/IFNA10/AKT2/IFNA21/IFNA4/MAPK10/MAPK9/AKT1/STAT5B/FADD/IRF3/MX1/CD46/CASP8/CD3E/HSPA1B/CCNE1/STAT5A/IKBKG/CD209/FCGR2B/GSK3B/IKBKB/IL6/IL2RG/CYCS/IL1B/FASLG/AKT3/TBK1/BCL2/CSNK2A1/MAPK8/TLR2/BCL2L1/IL1A/TYK2/FAS/BID/BAD/HSPA8/IFNAR1/TP53/IFNA14/PIK3R1/IL2RB/NFKB1",52
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","19/1904","28/3379",0.678571428571429,1.20425045018007,1.23288369391877,0.148566595656641,0.510697672569702,0.444722375156391,"PSMB6/PSMA7/PSMB5/PSMB1/PSMD4/PSMD9/PSMA4/PSMB3/PSMB4/PSMA5/PSMB9/PSMB2/PSMB10/PSMC3/PSMD6/PSMC5/PSMA1/PSMD7/PSMA2",19
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","19/1904","28/3379",0.678571428571429,1.20425045018007,1.23288369391877,0.148566595656641,0.510697672569702,0.444722375156391,"ITGAL/ITGB2/CASP8/RAC2/SNTA1/DAG1/DTNA/EIF4G1/CD80/CYCS/ABL2/FYN/EIF4G2/ICAM1/CD55/CD86/BID/CAV3/SNTB1",19
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","40/1904","63/3379",0.634920634920635,1.12678404695211,1.15397103655629,0.152382367777749,0.511645013798056,0.445547332589695,"RAF1/PDGFRA/NRAS/PLCB1/SYK/PTK2B/DNM2/SHC4/PTPN11/CYTH4/DGKB/PDGFC/RALA/AKT2/AKT1/SHC1/MRAS/ARF1/TSC2/GRM4/GAB1/DNM1/KIT/EGFR/MAPK3/MAP2K1/MAPK1/AKT3/INSR/AGT/MAP2K2/FYN/PDGFA/PLCG1/KRAS/GRB2/EGF/PIK3R1/FCER1A/KITLG",40
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","34/1904","53/3379",0.641509433962264,1.13847708894879,1.15430884132825,0.155027468281717,0.511645013798056,0.445547332589695,"RAF1/LAT/SYK/DNM2/ARPC1B/ASAP2/AKT2/CFL2/AKT1/RAC2/MARCKSL1/WAS/FCGR2B/ASAP3/AMPH/INPP5D/MAPK3/MAP2K1/MAPK1/FCGR3B/FCGR1A/LYN/AKT3/CFL1/PLCG1/GSN/CRK/VAV1/PRKCB/PRKCG/PIK3R1/VASP/VAV3/CRKL",34
"Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","9/1904","12/3379",0.75,1.33101365546218,1.30491510889389,0.155480439999216,0.511645013798056,0.445547332589695,"IGBP1/GABARAPL2/ATG5/ATG7/GABARAPL1/GABARAP/ATG3/ATG4A/PIK3C3",9
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","31/1904","48/3379",0.645833333333333,1.1461506477591,1.15851412006626,0.155698458365046,0.511645013798056,0.445547332589695,"RAF1/PLCB1/ARAF/PRKG1/PLA2G2E/ARHGEF1/RAMP1/BRAF/NPPB/CALCB/PPP1R14A/PPP1CC/MYL6B/MYL6/NPPC/PLA2G12A/MYL9/PLA2G5/MAPK3/MAP2K1/PLA2G10/MAPK1/AGT/MAP2K2/PRKCQ/PLA2G1B/PRKCB/PRKCG/ADM/PLA2G2C/KCNMB3",31
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","14/1904","20/3379",0.7,1.24227941176471,1.23450766546981,0.15659438301092,0.511645013798056,0.445547332589695,"BIRC2/APAF1/MAPK10/MAPK9/FADD/CASP8/TNFRSF1A/CYCS/HTRA2/BCL2/BIRC5/MAPK8/BCL2L1/BID",14
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","38/1904","60/3379",0.633333333333333,1.12396708683473,1.10064098074373,0.166257298858837,0.536939772988358,0.467574347769766,"NRAS/FOXO3/SMURF1/MAP1LC3B/GABARAPL2/CALCOCO2/GABARAPL1/TAX1BP1/PRKN/USP8/RAB5C/MAPK10/SQSTM1/MAPK9/RAB5A/GABARAP/FIS1/MAP1LC3A/MRAS/USP15/RAB5B/PHB2/RHOT1/USP30/SAMM50/VCP/TBK1/CSNK2A1/MAPK8/BCL2L1/RPS27A/KRAS/SRC/TP53/UBC/UBB/NBR1/BNIP3L",38
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","35/1904","55/3379",0.636363636363636,1.1293449197861,1.09867058579062,0.16822084667549,0.536939772988358,0.467574347769766,"PUF60/HSPA1A/PCBP1/SRSF6/DHX8/PPIH/SNRPA/HNRNPM/RBM22/U2AF2/LSM4/MAGOHB/SNRPB2/RBM17/SNRPD3/SMNDC1/HSPA1B/SNRPG/SYF2/BUD31/RP9/SF3B6/SNRPE/SNRPA1/SNIP1/TXNL4A/NCBP1/PRPF18/PRPF19/EIF4A3/SNRPF/HSPA8/PRPF6/THOC1/PPIL1",35
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","48/1904","77/3379",0.623376623376623,1.10629706428026,1.0718780633851,0.169709545026614,0.536939772988358,0.467574347769766,"RAF1/BIRC2/MCL1/NRAS/APAF1/IL3RA/CAPN2/AKT2/MAPK10/MAPK9/AKT1/FADD/CASP8/DFFA/IKBKG/IKBKB/TNFRSF1A/MAPK3/MAP2K1/CYCS/FASLG/MAPK1/HTRA2/AKT3/BCL2/BIRC5/NTRK1/MAP2K2/MAPK8/BCL2L1/PDPK1/IL3/TNFRSF10A/CTSZ/KRAS/CASP10/FAS/CTSD/BID/NGF/BAD/TP53/TNFRSF10B/CTSB/PIK3R1/CTSO/AIFM1/NFKB1",48
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","23/1904","35/3379",0.657142857142857,1.16622148859544,1.12293686506946,0.170844473223568,0.536939772988358,0.467574347769766,"LRP1/ITGAL/MET/ITGB2/IL10/TGFB1/KLRB1/IL6/HGF/PECAM1/CD36/IL1B/KLRK1/THBS2/THBS4/SELE/THBS1/TGFB3/TLR2/TGFB2/ICAM1/CSF3/THBS3",23
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","45/1904","72/3379",0.625,1.10917804621849,1.06377983461259,0.172794988684754,0.5379466628865,0.468451160982502,"STAT3/STAT1/NRAS/COL1A1/PLCB1/JAK2/SMAD4/VEGFD/TGFB1/AKT2/MAPK10/MAPK9/AKT1/STAT5B/FN1/STAT5A/NOS3/FOXO1/PLCD1/DIAPH1/IL6/PLCD3/VEGFA/PRKCZ/MAPK3/IL1B/MAPK1/AKT3/BCL2/SELE/AGT/TGFB3/MAPK8/TGFB2/ICAM1/PLCG1/IL1A/MAPK11/MAPK13/MAPK14/KRAS/PRKCB/PIK3R1/VEGFB/NFKB1",45
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","83/1904","137/3379",0.605839416058394,1.07517404772128,1.020443580963,0.175630449830602,0.541664004150455,0.471688271556855,"NCF2/STAT3/NRAS/HSPA1A/ATF6/PLCB1/JAK2/APAF1/ARHGEF1/TANK/IFNA10/AKT2/IFNA21/IFNA4/MAPK10/PPP3R1/MAPK9/AKT1/CD14/IRF3/MAP2K6/CASP8/PPP3R2/HSPA1B/VLDLR/IKBKG/NOS3/HSPA2/GSK3B/PPARG/PYCARD/IKBKB/CCL5/IL6/MMP9/HSP90AA1/TNFRSF1A/HSPD1/MMP3/MAPK3/CYCS/CD36/CXCL3/IL1B/FASLG/MAPK1/CXCL2/CAMK2A/CAMK2B/LYN/AKT3/TBK1/BCL2/CAMK2D/SELE/OLR1/MAPK8/TLR2/ICAM1/BCL2L1/PDPK1/PLCG1/TNFRSF10A/MAPK11/MAPK13/MAPK14/SOD2/KRAS/VAV1/FAS/HSP90AB1/SRC/BID/BAD/HSPA8/TP53/HSP90B1/ERO1A/IFNA14/TNFRSF10B/PIK3R1/VAV3/NFKB1",83
NA,NA,"hsa04156","Integrated stress response (ISR) signaling pathway","15/1904","22/3379",0.681818181818182,1.21001241405653,1.12265915267571,0.182816486943114,0.546903968161847,0.47625130241845,"EIF2B1/CHCHD10/GABARAPL2/GABARAPL1/HSPA9/GABARAP/PPP1CC/ATF5/AKT1S1/EIF2S2/HSP90AA1/HSPD1/TNFRSF10A/HSP90AB1/TNFRSF10B",15
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","95/1904","158/3379",0.60126582278481,1.06705736091905,0.980724270330858,0.184584936580273,0.546903968161847,0.47625130241845,"RAF1/STAT1/NRAS/COL1A1/COL6A1/COL6A3/ITGB7/TNR/CREB3L4/FZD10/IRF9/PPP2R1A/AXIN2/SPP1/DVL2/PPP2R5A/IBSP/IFNA10/ISG15/AKT2/IFNA21/IFNA4/COL2A1/AKT1/FADD/IRF3/MX1/CASP8/HDAC2/DLG2/CCNE1/FN1/FZD5/LAMA3/COL9A3/FZD7/FZD8/TSC2/RELN/WNT10B/WNT16/WNT5B/IKBKG/ITGA6/FOXO1/PPP2R5D/FZD2/FZD1/FZD9/ATP6V1C1/GSK3B/IKBKB/ATP6V1F/VEGFA/PRKCZ/TNFRSF1A/EGFR/TNC/MAPK3/MAP2K1/TBP/VWF/FASLG/MAPK1/THBS2/THBS4/PRKCI/AKT3/TBK1/THBS1/MAP2K2/PTEN/RB1/JAG1/NOTCH1/NOTCH3/KRAS/TYK2/FAS/GRB2/EGF/MFNG/BAD/IFNAR1/TP53/IFNA14/RFNG/ITGB6/VTN/NOTCH2/CTNNB1/PIK3R1/THBS3/LAMC2/NFKB1",95
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","18/1904","27/3379",0.666666666666667,1.18312324929972,1.08527712028232,0.187218066612772,0.546903968161847,0.47625130241845,"DLD/ACAD8/HIBCH/HMGCS1/HMGCS2/ACADS/ACADSB/IVD/ACAA1/ALDH6A1/AUH/ALDH7A1/AACS/DBT/HMGCL/OXCT1/HSD17B10/MCEE",18
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","27/1904","42/3379",0.642857142857143,1.14086884753902,1.04358730644667,0.187975910682717,0.546903968161847,0.47625130241845,"GRIA4/CREB3L4/PLCB1/ATF6B/PPP2R1A/ARRB1/PPP2R5A/AKT2/MAPK10/MAPK9/AKT1/COMT/PPP1CC/PPP2R5D/GSK3B/GNG12/CAMK2A/CAMK2B/AKT3/CAMK2D/MAPK8/MAPK11/MAPK13/MAPK14/PRKCB/PRKCG/CALY",27
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","27/1904","42/3379",0.642857142857143,1.14086884753902,1.04358730644667,0.187975910682717,0.546903968161847,0.47625130241845,"ELK1/NCF2/STAT1/JAK2/ITGB2/IL10/TGFB1/MARCKSL1/ITGAM/C3/MAPK3/IL1B/MAPK1/FCGR3B/FCGR1A/TGFB3/TLR2/TGFB2/PTPN6/IL1A/MAPK11/MAPK13/MAPK14/PRKCB/IFNGR1/IFNGR2/NFKB1",27
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","67/1904","110/3379",0.609090909090909,1.08094442322384,0.980489844040102,0.188913649809559,0.546903968161847,0.47625130241845,"RAF1/NRAS/SAMHD1/PTK2B/AP1G2/PAK4/CUL4B/IFNA10/AKT2/CFL2/IFNA21/IFNA4/MAPK10/PPP3R1/MAPK9/AKT1/FADD/IRF3/MAP2K6/CUL1/CASP8/PPP3R2/CD3E/RAC2/TRIM5/IKBKG/IKBKB/AP1B1/WEE2/GNG12/TNFRSF1A/CHEK1/MAPK3/MAP2K1/CYCS/FASLG/MAPK1/TNFRSF1B/AKT3/TBK1/BCL2/B2M/MAP2K2/MAPK8/PAK6/TLR2/SKP1/CFL1/BCL2L1/PLCG1/PDIA3/CRK/MAPK11/MAPK13/MAPK14/KRAS/CALR/FAS/PRKCB/PRKCG/BID/BAD/TAPBPL/IFNA14/PIK3R1/NFKB1/CRKL",67
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","21/1904","32/3379",0.65625,1.16463694852941,1.06302070971592,0.188930461728638,0.546903968161847,0.47625130241845,"RAF1/NRAS/ARAF/FGFR3/DAPK1/BRAF/MMP9/VEGFA/ERBB2/EGFR/MAPK3/MAP2K1/MAPK1/THBS1/MAP2K2/DAPK2/RB1/KRAS/SRC/EGF/TP53",21
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","40/1904","64/3379",0.625,1.10917804621849,1.00173032980016,0.19129409683174,0.548930886560645,0.478016370115012,"RAF1/STAT1/NRAS/SYK/CARD9/RELB/PTPN11/IRF9/IL10/AKT2/MAPK10/PPP3R1/MAPK9/AKT1/CASP8/MRAS/PPP3R2/LSP1/CYLD/IKBKG/CD209/PYCARD/IKBKB/IL6/MAPK3/IL1B/MAPK1/AKT3/MAPKAPK2/MAPK8/CLEC1B/MAPK11/MAPK13/MAPK14/KRAS/SRC/CLEC4D/BCL10/PIK3R1/NFKB1",40
