"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X14246.50",492,-0.0229433541847639,-0.0239928492706294,0.595481225523848,0.000310908499883445,0.657941007065387,FALSE,FALSE,"Not significant","Negative",-0.00104949508586544,"DOK2","Docking protein 2","DOK2","O60496"
"X16770.3",492,0.0213301861284112,-0.0239795465461874,0.595685292284944,0.132564111964757,0.658062682929511,FALSE,FALSE,"Not significant","Negative",-0.0453097326745985,"REG1B","Lithostathine-1-beta","REG1B","P48304"
"X15446.25",494,-0.0125668368956448,-0.0239198123233255,0.595853019922087,0.0051709942061385,0.658144182364273,FALSE,FALSE,"Not significant","Negative",-0.0113529754276808,"NRG1","Neuregulin-1, sensory and motor neuron-derived factor isoform","SMDF","Q02297"
"X24468.36",493,0.030831491151906,0.0239379779375941,0.595948219432407,0.00189801480919719,0.658145558430397,FALSE,FALSE,"Not significant","Positive",-0.00689351321431195,"ADD2","Beta-adducin","ADDB","P35612"
"X13990.1",463,-0.0194596771573496,-0.0246812028427532,0.59630517931075,0.00589767700145745,0.658435968012579,FALSE,FALSE,"Not significant","Negative",-0.00522152568540359,"PC","Pyruvate carboxylase, mitochondrial","pyruvate carboxylase","P11498"
"X6256.9",495,0.0263325922128138,0.0238381595766995,0.596736154680616,0.000194094770948823,0.65880800055756,FALSE,FALSE,"Not significant","Positive",-0.00249443263611434,"LY6G6C","Lymphocyte antigen 6 complex locus protein G6c","LY66C","O95867"
"X2468.62",494,-0.026420916786529,-0.0238500376128336,0.5969262214997,0.00308468303219462,0.658913990167885,FALSE,FALSE,"Not significant","Negative",0.00257087917369546,"CCL20","C-C motif chemokine 20","MIP-3a","P78556"
"X4961.17",477,-0.00952242637390361,-0.0242606397576004,0.597119061867261,0.0122461306683495,0.65902300746497,FALSE,FALSE,"Not significant","Negative",-0.0147382133836967,"ANXA2","Annexin A2","annexin II","P07355"
"X11551.16",492,-0.0247086618049976,-0.0238753116314969,0.597285378494203,0.000152621059398232,0.659102721542516,FALSE,FALSE,"Not significant","Negative",0.000833350173500697,"HMG20B","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related","HM20B","Q9P0W2"
"X21311.22",491,-0.0105337033768195,-0.0238634918728876,0.597841541565357,0.0105834170798408,0.659612537197248,FALSE,FALSE,"Not significant","Negative",-0.0133297884960681,"JDP2","Jun dimerization protein 2","JDP2","Q8WYK2"
"X11380.84",488,0.0235071965647717,0.0239278679006236,0.597982617143132,0.00122636369667505,0.659664288675219,FALSE,FALSE,"Not significant","Positive",0.000420671335851944,"RBM24","RNA-binding protein 24","RBM24","Q9BX46"
"X21931.16",490,-0.0325718029153813,-0.023784680435495,0.599426113950523,0.01358199252653,0.661152563096112,FALSE,FALSE,"Not significant","Negative",0.00878712247988633,"UBE2L3|UBB","UB2L3/PolyUbiquitin K48","UB2L3/ PolyUbiquitin K48","P68036|P0CG47"
"X9241.40",491,-0.0270691921304211,-0.0236974879536474,0.600392306550081,0.0057761821894871,0.6621139967543,FALSE,FALSE,"Not significant","Negative",0.00337170417677368,"SIRPG","Signal-regulatory protein gamma","SIRPG","Q9P1W8"
"X5581.28",490,0.0293659078847285,0.0236988466747263,0.600744621333516,0.0029926327224047,0.66239824845605,FALSE,FALSE,"Not significant","Positive",-0.00566706121000219,"FGL1","Fibrinogen-like protein 1","FGL1","Q08830"
"X22806.1",493,0.0292766049649195,0.0236172521656818,0.600883837661411,0.000666094554530366,0.66244747919707,FALSE,FALSE,"Not significant","Positive",-0.00565935279923774,"THAP2","THAP domain-containing protein 2","THAP2","Q9H0W7"
"X3184.25",492,-0.00948020587484577,-0.0235966589225965,0.601572447749215,0.017900089143096,0.663102281114595,FALSE,FALSE,"Not significant","Negative",-0.0141164530477508,"F7","Coagulation factor VII","Coagulation Factor VII","P08709"
"X9774.59",490,-0.0214192400999263,-0.0236040418536593,0.602202451153082,2.64939267121746e-05,0.66369228608045,FALSE,FALSE,"Not significant","Negative",-0.00218480175373293,"RNF150","RING finger protein 150","RN150","Q9ULK6"
"X12077.32",491,0.0314172210124705,0.0235500329981478,0.602662159095961,0.00225270889176282,0.664094450915087,FALSE,FALSE,"Not significant","Positive",-0.00786718801432261,"MSTN","Growth/differentiation factor 8","Myostatin","O14793"
"X24487.95",477,-0.025113383158241,-0.023816656738614,0.603849669005941,1.51506553025024e-05,0.665234344320162,FALSE,FALSE,"Not significant","Negative",0.00129672641962696,"BLOC1S3","Biogenesis of lysosome-related organelles complex 1 subunit 3","BL1S3","Q6QNY0"
