"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X13119.26",485,-0.250340541022678,-0.243979002878388,5.27857141988583e-08,0.00651211922606247,1.62302948005533e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00636153814428936,"SERPINA10","Protein Z-dependent protease inhibitor","protein Z inhibitor","Q9UK55"
"X5015.15",494,0.258101010014566,0.24179957262054,5.28034858678958e-08,0.0346586704788648,1.62302948005533e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.016301437394026,"PLA2G7","Platelet-activating factor acetylhydrolase","PAFAH","Q13093"
"X5727.35",495,-0.253040404313997,-0.241418885938144,5.3792507287474e-08,0.0263642179837024,1.65270400679279e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.0116215183758526,"B3GLCT","Beta-1,3-glucosyltransferase","B3GLT","Q6Y288"
"X3235.50",494,0.241103976969854,0.241339892092534,5.60579213015619e-08,0.00126217818431738,1.72155080542499e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.000235915122679814,"WFIKKN2","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2","WFKN2","Q8TEU8"
"X3739.72",485,-0.247099883273258,-0.243455275445279,5.64753368378806e-08,0.0132706398826074,1.73360970442311e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00364460782797918,"ITGA2B|ITGB3","Integrin alpha-IIb: beta-3 complex","gpIIbIIIa","P08514|P05106"
"X18897.31",490,-0.250533156835113,-0.242180380407408,5.69213153578332e-08,0.0154456874949871,1.74653444626203e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00835277642770543,"HDAC2","Histone deacetylase 2","HDAC2","Q92769"
"X12540.25",493,0.249916958279903,0.24108277212064,5.97807593147511e-08,0.0130663230019247,1.83346855954392e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00883418615926346,"RHOG","Rho-related GTP-binding protein RhoG","RHOG","P84095"
"X9963.19",494,0.251057837985049,0.240751305916247,6.05087964640649e-08,0.0300820907918285,1.85498520451105e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.0103065320688019,"PCDHB10","Protocadherin beta-10","PCDBA","Q9UN67"
"X10716.35",491,0.242855904728261,0.241356829164728,6.13805894062108e-08,0.00123858873200365,1.88088813994097e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00149907556353324,"PSMD5","26S proteasome non-ATPase regulatory subunit 5","PSMD5","Q16401"
"X9910.9",494,0.249285451393217,0.240622312702821,6.15288785938395e-08,0.0076573221930941,1.88460775929097e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00866313869039514,"MTAP","S-methyl-5'-thioadenosine phosphorylase","MTAP","Q13126"
"X7859.21",493,0.242036973160109,0.240841315295744,6.16796155961421e-08,0.00041963815002683,1.88839907015287e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00119565786436546,"PCDHGC3","Protocadherin gamma-C3","PCDGK","Q9UN70"
"X18232.42",474,-0.250450331279121,-0.245439650393456,6.2151357485852e-08,0.0176419711979291,1.90201074350543e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00501068088566517,"PIP4K2B","Phosphatidylinositol 5-phosphate 4-kinase type-2 beta","PI42B","P78356"
"X23673.9",491,-0.248644856988991,-0.24122088287132,6.24680264732932e-08,0.00325734301070214,1.91086692334244e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.0074239741176716,"DBT","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial","ODB2","P11182"
"X21529.6",492,0.248853893868096,0.240940500976212,6.28012948922169e-08,0.0182940535441002,1.92022291889996e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00791339289188328,"UBASH3A","Ubiquitin-associated and SH3 domain-containing protein A","UBS3A","P57075"
"X21141.9",491,0.252199156537913,0.241124061912941,6.32538201422317e-08,0.0262949179327069,1.93321557633653e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.011075094624972,"LRATD2","Protein FAM84B","FA84B","Q96KN1"
"X3148.49",492,-0.24333835507344,-0.240675407739434,6.49888118690856e-08,0.00320344425224786,1.9853756089967e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00266294733400602,"CXCL2","Gro-beta","Gro-b","P19875"
"X10045.47",495,-0.244570242572584,-0.239891366975127,6.55929551107234e-08,0.00183602843998315,2.00295837206023e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00467887559745656,"CUL3","Cullin-3","CUL3","Q13618"
"X23289.25",491,0.243427024563036,0.240565532525506,6.79766216563217e-08,0.000840160651063335,2.07484198127466e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00286149203753053,"NEUROG1","Neurogenin-1","NGN1","Q92886"
"X7251.64",495,0.21099628475917,0.239478334342511,6.91907486898635e-08,0.0578491817621582,2.11098081259797e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.028482049583341,"C1QTNF3","Complement C1q tumor necrosis factor-related protein 3","C1QT3","Q9BXJ4"
"X20385.21",490,0.237679625233073,0.240654817659522,6.93009326676823e-08,2.41748841981219e-05,2.11342199972623e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.00297519242644942,"CPTP","Ceramide-1-phosphate transfer protein","CPTP","Q5TA50"
"X24693.5",490,-0.239660404645284,-0.240631000952694,6.95134390572266e-08,0.000382514031698581,2.11898015925097e-07,TRUE,TRUE,"FDR < 0.01","Negative",-0.00097059630741031,"CLIC3","Chloride intracellular channel protein 3","CLIC3","O95833"
"X18840.205",493,-0.240021574317969,-0.239900192496987,6.96522547831206e-08,0.000377309293791194,2.12228814595807e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.000121381820982092,"SH2D1B","SH2 domain-containing protein 1B","SH21B","O14796"
"X22499.15",492,-0.247429339872168,-0.240132594004093,6.96999809210431e-08,0.0108827523703969,2.12281898413872e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00729674586807549,"MED28","Mediator of RNA polymerase II transcription subunit 28","MED28","Q9H204"
"X25225.14",492,-0.242419163913711,-0.240052673249799,7.04208969374321e-08,0.00407763633310741,2.14384347260631e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00236649066391162,"FTHL17","Ferritin heavy polypeptide-like 17","FHL17","Q9BXU8"
"X6576.1",452,0.253463293934912,0.250094699270851,7.11570896196781e-08,0.00121845375655481,2.16531456466484e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00336859466406064,"ART4","Ecto-ADP-ribosyltransferase 4","ART4","Q93070"
"X6304.8",494,0.252439884419841,0.239446721031006,7.16238597384093e-08,0.0689475599729384,2.17857202547788e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.0129931633888352,"C1QTNF1","Complement C1q tumor necrosis factor-related protein 1","C1QT1","Q9BXJ1"
"X12683.156",492,0.220506462092905,0.239888069853617,7.19284386393064e-08,0.019411937408023,2.18688677373412e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.0193816077607122,"DPYSL5","Dihydropyrimidinase-related protein 5","DPYL5","Q9BPU6"
"X13568.30",491,-0.240598520581618,-0.240048308074374,7.26525728160938e-08,0.00116075341362721,2.20794478341318e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.000550212507243852,"PSMD4","26S proteasome non-ATPase regulatory subunit 4","PSMD4","P55036"
